Institution Name,Full Time Enrollment,State,Ranking List,Rank,Rank Pct Rank,Undergraduate Admit Rate,Undergraduate Admit Rate Pct Rank,Average Monthly Search Volume,Average Monthly Search Volume Pct Rank,Credential Score,Student Life Grade,Student Life Score,Experience Score,15-Year NPV,15-Year NPV PCT Rank,30-Year NPV,30-Year NPV PCT Rank,Instructional Wages per Full-Time Student,Instructional Wages per Full-Time Student PCT Rank,Eduation Score,Average Undergraduate Tuition and Fees,Average Undergraduate Tuition & Fees Score,"Value
(C x E x E)",Value-to-Cost Ratio,Endowment per Full Time Student,Endowment per Full Time Student Pct Rank,Percentage of International Students,Percentage of International Students PCT Rank,Vulnerability Score,Prof G Categorization
Spelman College,2123,GA,USN National College Ranking,57,0.75,0.39,0.78,60500,0.7,2.23,A,4.66,2.80,180000.00,0.05,638000.00,0.14,7862.00,0.36,0.55,29064.00,0.36,3.777175116,0.552946145,183423.00,0.20,0.01,0.07,0.26,Thrive
St Catherine University,2788,MN,USN National University Ranking,228,0.14,0.73,0.31,9900,0.11,0.56,B,3.66,2.20,295000.00,0.60,775000.00,0.54,9663.00,0.58,1.71,39554.00,0.52,2.05571952,0.145578891,33558.00,0.66,0.01,0.07,0.73,Struggle
St John's University-New York,14521,NY,USN National University Ranking,179,0.25,0.73,0.31,90500,0.82,1.39,B+,4.00,2.40,303000.00,0.63,841000.00,0.67,7786.00,0.35,1.65,41760.00,0.58,5.4918864,0.348890566,52069.00,0.54,0.05,0.59,1.13,Perish
St Lawrence University,2449,NY,USN National College Ranking,58,0.74,0.46,0.74,18100,0.26,1.74,A-,4.33,2.60,257000.00,0.34,745000.00,0.44,9660.00,0.57,1.36,54846.00,0.93,6.11826402,0.244710984,124822.00,0.30,0.09,0.74,1.04,Perish
St Olaf College,3023,MN,USN National College Ranking,62,0.73,0.50,0.70,22200,0.33,1.76,A-,4.33,2.60,274000.00,0.45,764000.00,0.5,8756.00,0.47,1.42,47840.00,0.73,6.498372204,0.331973037,177579.00,0.21,0.09,0.74,0.95,Perish
St. John's College - MD,350,MD,USN National College Ranking,64,0.72,0.58,0.63,14800,0.19,1.54,B-,3.33,2.00,161000.00,0.02,520000.00,0.02,16192.00,0.88,0.91,53343.00,0.85,2.810478708,0.122030251,275605.00,0.14,0.18,0.96,1.10,Perish
St. John's College - NM,514,NM,USN National College Ranking,72,0.68,0.67,0.45,14800,0.19,1.33,B+,4.00,2.40,162000.00,0.02,488000.00,0.01,9287.00,0.53,0.57,54118.00,0.89,1.8012384,0.074957903,152508.00,0.25,0.19,0.97,1.21,Perish
St. Mary's College of Maryland,1533,MD,USN National College Ranking,92,0.59,0.80,0.19,12100,0.14,0.92,B,3.66,2.20,297000.00,0.61,805000.00,0.6,8447.00,0.43,1.64,22687.00,0.24,3.359544012,0.4879512,23735.00,0.75,0.00,0.00,0.75,Thrive
St. Thomas Aquinas College,1229,NY,USN National College Ranking,35,0.85,0.76,0.25,8100,0.08,1.18,C,2.66,1.60,196000.00,0.06,606000.00,0.1,5335.00,0.03,0.19,31950.00,0.40,0.386736336,0.042004598,41182.00,0.61,0.00,0.00,0.61,Struggle
Stanford University,16332,CA,USN National University Ranking,6,0.98,0.04,1.00,246000,0.98,2.96,A+,5.00,3.00,677000.00,1.00,1593000.00,1,49242.00,0.99,2.98,51354.00,0.79,26.453322,1.238625369,1620433.00,0.01,0.13,0.86,0.87,Thrive
Stevens Institute of Technology,5718,NJ,USN National University Ranking,74,0.66,0.41,0.77,49500,0.63,2.06,A,4.66,2.80,514000.00,0.97,1382000.00,0.99,9525.00,0.56,2.52,52202.00,0.81,14.50307568,0.66151595,36168.00,0.64,0.03,0.39,1.03,Survive
Stonehill College,2513,MA,USN National College Ranking,124,0.46,0.70,0.40,27100,0.41,1.28,B,3.66,2.20,316000.00,0.69,908000.00,0.77,7387.00,0.27,1.73,42746.00,0.61,4.896285048,0.325572515,84128.00,0.38,0.01,0.07,0.44,Struggle
Stony Brook University,21706,NY,USN National University Ranking,91,0.60,0.42,0.76,90500,0.82,2.18,B-,3.33,2.00,372000.00,0.85,933000.00,0.81,10991.00,0.70,2.36,18460.00,0.16,10.29817152,2.354405926,11285.00,0.90,0.14,0.89,1.79,Survive
SUNY at Albany,15056,NY,USN National University Ranking,147,0.36,0.52,0.67,22200,0.33,1.36,A-,4.33,2.60,312000.00,0.66,813000.00,0.62,7221.00,0.24,1.52,18431.00,0.16,5.385142194,1.246560693,4762.00,0.98,0.04,0.50,1.48,Survive
SUNY Buffalo State,7694,NY,USN National University Ranking,79,0.66,0.61,0.57,2400,0.02,1.24,B-,3.33,2.00,249000.00,0.27,637000.00,0.14,5367.00,0.04,0.44,13100.00,0.03,1.100196702,1.509186148,6582.00,0.97,0.01,0.07,1.03,Survive
SUNY College of Environmental Science and Forestry,2007,NY,USN National University Ranking,121,0.47,0.61,0.56,2400,0.02,1.05,A-,4.33,2.60,264000.00,0.38,708000.00,0.33,7757.00,0.34,1.05,13764.00,0.04,2.847950982,2.453015488,18755.00,0.81,0.01,0.07,0.88,Thrive
Susquehanna University,2311,PA,USN National College Ranking,117,0.50,0.72,0.34,27100,0.41,1.25,B-,3.33,2.00,289000.00,0.55,816000.00,0.63,5399.00,0.04,1.21,47290.00,0.71,3.005595396,0.156126715,73473.00,0.43,0.02,0.26,0.68,Struggle
Swarthmore College,1554,PA,USN National College Ranking,3,0.99,0.09,0.97,49500,0.63,2.59,B+,4.00,2.40,331000.00,0.75,883000.00,0.73,20011.00,0.94,2.41,52588.00,0.83,14.9822496,0.671789508,1361498.00,0.01,0.13,0.86,0.88,Thrive
Sweet Briar College,332,VA,USN National College Ranking,154,0.31,0.76,0.26,12100,0.14,0.72,C+,3.00,1.80,201000.00,0.07,573000.00,0.06,16278.00,0.88,1.02,21000.00,0.22,1.2416472,0.24591943,225353.00,0.17,0.03,0.39,0.56,Struggle
Syracuse University,19184,NY,USN National University Ranking,54,0.76,0.50,0.70,165000,0.94,2.4,A+,5.00,3.00,314000.00,0.68,918000.00,0.79,9844.00,0.59,2.06,51853.00,0.81,14.792904,0.680602899,69761.00,0.44,0.14,0.89,1.33,Survive
Temple University,34382,PA,USN National University Ranking,104,0.55,0.59,0.61,165000,0.94,2.09,A+,5.00,3.00,281000.00,0.51,773000.00,0.53,9059.00,0.51,1.55,23018.00,0.26,9.707334,1.393530577,19893.00,0.79,0.03,0.39,1.18,Survive
Tennessee Technological University,8290,TN,USN National University Ranking,272,0.04,0.76,0.26,9900,0.11,0.41,B,3.66,2.20,247000.00,0.27,641000.00,0.15,5279.00,0.02,0.44,16663.00,0.12,0.391472136,0.124991103,8105.00,0.93,0.01,0.07,1.00,Perish
Texas A & M University-College Station,59220,TX,USN National University Ranking,70,0.69,0.68,0.44,301000,0.99,2.12,A+,5.00,3.00,363000.00,0.83,928000.00,0.8,8298.00,0.42,2.05,24683.00,0.29,13.1166,2.270093458,214263.00,0.18,0.01,0.07,0.25,Thrive
Texas Christian University,10486,TX,USN National University Ranking,97,0.57,0.41,0.78,27100,0.41,1.76,A+,5.00,3.00,253000.00,0.31,768000.00,0.51,9823.00,0.59,1.41,46950.00,0.70,7.43424,0.391111111,152198.00,0.25,0.05,0.59,0.83,Struggle
Texas Tech University,31495,TX,USN National University Ranking,218,0.16,0.71,0.38,40500,0.55,1.09,A+,5.00,3.00,325000.00,0.73,826000.00,0.65,4260.00,0.01,1.38,14060.00,0.05,4.526559,3.492715278,23295.00,0.76,0.02,0.26,1.01,Survive
The College of Idaho,928,ID,USN National College Ranking,117,0.50,0.49,0.70,14800,0.19,1.39,A-,4.33,2.60,205000.00,0.08,595000.00,0.09,6938.00,0.21,0.38,30155.00,0.38,1.364368278,0.134037556,107023.00,0.33,0.10,0.78,1.11,Perish
The College of Saint Scholastica,3126,MN,USN National University Ranking,254,0.08,0.66,0.47,210,0,0.55,B+,4.00,2.40,299000.00,0.62,799000.00,0.59,6346.00,0.12,1.33,37212.00,0.48,1.7535024,0.135301111,28648.00,0.70,0.03,0.39,1.09,Perish
The College of Wooster,1996,OH,USN National College Ranking,66,0.71,0.54,0.66,22200,0.33,1.7,B,3.66,2.20,236000.00,0.20,687000.00,0.26,8357.00,0.43,0.88,50250.00,0.77,3.3001488,0.158121259,162074.00,0.23,0.17,0.95,1.18,Perish
The New School,9240,NY,USN National University Ranking,153,0.33,0.57,0.64,40500,0.55,1.52,A,4.66,2.80,159000.00,0.01,592000.00,0.09,9271.00,0.53,0.63,49064.00,0.75,2.680234416,0.132357255,42439.00,0.60,0.27,0.99,1.59,Perish
The Sage Colleges,1787,NY,USN National University Ranking,228,0.14,0.93,0.02,1600,0.02,0.18,C-,2.33,1.40,262000.00,0.37,698000.00,0.29,6878.00,0.19,0.85,30857.00,0.38,0.213706668,0.02061214,20692.00,0.77,0.02,0.26,1.03,Perish
The University of Alabama,33038,AL,USN National University Ranking,153,0.33,0.59,0.60,165000,0.94,1.87,A+,5.00,3.00,247000.00,0.27,680000.00,0.25,5927.00,0.07,0.58,20005.00,0.19,3.25629,0.621666667,25605.00,0.73,0.02,0.26,0.99,Survive
The University of Findlay,3092,OH,USN National University Ranking,240,0.11,0.74,0.29,27100,0.41,0.81,B,3.66,2.20,240000.00,0.22,661000.00,0.2,7581.00,0.32,0.73,34360.00,0.45,1.303119576,0.108214547,13501.00,0.86,0.00,0.00,0.86,Struggle
The University of Montana,7968,MT,USN National University Ranking,254,0.08,0.88,0.05,49500,0.63,0.76,B-,3.33,2.00,209000.00,0.09,554000.00,0.04,7834.00,0.36,0.49,16102.00,0.10,0.743943312,0.27553456,24193.00,0.75,0.01,0.07,0.81,Struggle
The University of Texas at Austin,48542,TX,USN National University Ranking,48,0.78,0.39,0.79,6600,0.07,1.64,B,3.66,2.20,372000.00,0.85,938000.00,0.82,9450.00,0.56,2.23,24095.00,0.28,8.00007192,1.043306197,83225.00,0.38,0.03,0.39,0.77,Thrive
The University of Texas at Dallas,22708,TX,USN National University Ranking,147,0.36,0.69,0.41,2400,0.02,0.78,B,3.66,2.20,349000.00,0.79,866000.00,0.71,6540.00,0.14,1.64,24955.00,0.30,2.826805392,0.354903376,23400.00,0.75,0.03,0.39,1.14,Perish
Thomas Jefferson University,5753,PA,USN National University Ranking,153,0.33,0.58,0.61,27100,0.41,1.36,B-,3.33,2.00,273000.00,0.45,771000.00,0.52,17360.00,0.90,1.86,40651.00,0.55,5.248154592,0.392678982,162158.00,0.23,0.00,0.00,0.23,Struggle
Towson University,18385,MD,USN National University Ranking,197,0.21,0.79,0.20,90500,0.82,1.23,A,4.66,2.80,314000.00,0.68,809000.00,0.61,4701.00,0.02,1.3,16574.00,0.11,4.46736492,1.477303214,4541.00,0.98,0.01,0.07,1.05,Survive
Transylvania University,976,KY,USN National College Ranking,72,0.68,0.89,0.05,14800,0.19,0.92,A-,4.33,2.60,224000.00,0.14,653000.00,0.18,7010.00,0.22,0.54,38750.00,0.51,1.506393144,0.12565842,178941.00,0.20,0.01,0.07,0.27,Struggle
Trinity College,2116,CT,USN National College Ranking,46,0.80,0.34,0.83,60500,0.7,2.33,B-,3.33,2.00,357000.00,0.81,1000000.00,0.87,12922.00,0.79,2.47,56910.00,0.99,11.48824426,0.428489958,293568.00,0.13,0.15,0.92,1.05,Perish
Tufts University,10718,MA,USN National University Ranking,29,0.87,0.15,0.93,90500,0.82,2.63,A+,5.00,3.00,421000.00,0.92,1159000.00,0.95,14435.00,0.85,2.72,56382.00,0.98,21.42816,0.807360687,172230.00,0.22,0.12,0.83,1.04,Survive
Tulane University of Louisiana,10509,LA,USN National University Ranking,40,0.82,0.17,0.92,110000,0.87,2.61,A+,5.00,3.00,304000.00,0.63,905000.00,0.76,18276.00,0.91,2.31,54820.00,0.92,18.06198,0.727924072,131694.00,0.28,0.05,0.59,0.86,Thrive
Union College,2195,NY,USN National College Ranking,45,0.81,0.39,0.79,40500,0.55,2.15,A-,4.33,2.60,349000.00,0.79,986000.00,0.86,33452.00,0.97,2.63,55290.00,0.95,14.7239052,0.575849865,601449.00,0.05,0.06,0.64,0.69,Thrive
Union University,2462,TN,USN National University Ranking,185,0.24,0.57,0.63,18100,0.26,1.13,A-,4.33,2.60,230000.00,0.17,651000.00,0.17,13163.00,0.80,1.14,32610.00,0.42,3.329097984,0.291489185,17391.00,0.83,0.03,0.39,1.22,Perish
University of Alabama at Birmingham,14220,AL,USN National University Ranking,166,0.28,0.92,0.03,18100,0.26,0.57,A,4.66,2.80,244000.00,0.24,646000.00,0.16,13399.00,0.81,1.22,14136.00,0.05,1.99241562,1.392323983,36897.00,0.63,0.01,0.07,0.70,Thrive
University of Alabama in Huntsville,7125,AL,USN National University Ranking,263,0.06,0.81,0.17,9900,0.11,0.35,B+,4.00,2.40,269000.00,0.41,724000.00,0.37,5797.00,0.06,0.85,16538.00,0.11,0.702144,0.243040498,11153.00,0.91,0.02,0.26,1.16,Perish
University of Alaska Fairbanks,3237,AK,USN National University Ranking,263,0.06,0.76,0.24,12100,0.14,0.45,C,2.66,1.60,255000.00,0.33,632000.00,0.13,14248.00,0.84,1.3,13438.00,0.04,0.9329418,0.959816667,32730.00,0.67,0.02,0.26,0.93,Thrive
University of Arizona,36213,AZ,USN National University Ranking,117,0.50,0.84,0.09,165000,0.94,1.52,A+,5.00,3.00,296000.00,0.61,757000.00,0.48,8626.00,0.46,1.55,24417.00,0.29,7.0773,0.916511267,26500.00,0.73,0.03,0.39,1.12,Survive
University of Arkansas,22602,AR,USN National University Ranking,153,0.33,0.77,0.22,60500,0.7,1.25,A+,5.00,3.00,279000.00,0.49,716000.00,0.35,6397.00,0.13,0.97,17149.00,0.14,3.7044,1.143333333,52461.00,0.54,0.01,0.07,0.60,Thrive
University of California-Berkeley,39393,CA,USN National University Ranking,22,0.91,0.15,0.93,201000,0.97,2.8,A+,5.00,3.00,425000.00,0.92,1055000.00,0.9,12496.00,0.77,2.59,28680.00,0.35,21.746322,2.288123106,50746.00,0.55,0.14,0.89,1.43,Survive
University of California-Davis,36919,CA,USN National University Ranking,39,0.83,0.41,0.77,18100,0.26,1.86,A,4.66,2.80,368000.00,0.84,934000.00,0.81,18948.00,0.92,2.57,28898.00,0.36,13.36616057,1.371310205,11989.00,0.89,0.20,0.97,1.87,Survive
University of California-Irvine,35200,CA,USN National University Ranking,36,0.84,0.29,0.86,90500,0.82,2.53,A,4.66,2.80,380000.00,0.86,949000.00,0.83,13614.00,0.82,2.51,28196.00,0.34,17.73442966,1.943286178,12848.00,0.88,0.20,0.97,1.85,Survive
University of California-Los Angeles,42895,CA,USN National University Ranking,20,0.91,0.14,0.94,368000,1,2.85,A+,5.00,3.00,402000.00,0.90,993000.00,0.87,32521.00,0.97,2.74,27722.00,0.33,23.393472,2.617597852,49557.00,0.55,0.11,0.81,1.36,Survive
University of California-Riverside,23302,CA,USN National University Ranking,91,0.60,0.51,0.69,49500,0.63,1.92,B+,4.00,2.40,318000.00,0.69,802000.00,0.59,9163.00,0.52,1.81,28323.00,0.34,8.3442816,0.908963137,7386.00,0.95,0.02,0.26,1.21,Survive
University of California-San Diego,36590,CA,USN National University Ranking,37,0.84,0.30,0.85,60500,0.7,2.38,B,3.66,2.20,391000.00,0.89,974000.00,0.85,20438.00,0.94,2.68,28663.00,0.35,14.01873696,1.483464229,20380.00,0.79,0.15,0.92,1.70,Survive
University of California-Santa Barbara,25320,CA,USN National University Ranking,34,0.85,0.32,0.83,60500,0.7,2.38,A+,5.00,3.00,346000.00,0.79,885000.00,0.73,8586.00,0.46,1.97,28887.00,0.36,14.07294,1.451866295,8452.00,0.93,0.14,0.89,1.81,Survive
University of California-Santa Cruz,19093,CA,USN National University Ranking,84,0.63,0.47,0.73,9900,0.11,1.46,B+,4.00,2.40,275000.00,0.46,731000.00,0.4,7277.00,0.25,1.1,28456.00,0.34,3.8482584,0.415533787,5441.00,0.98,0.15,0.92,1.90,Perish
University of Central Florida,46575,FL,USN National University Ranking,166,0.28,0.43,0.76,301000,0.99,2.03,A+,5.00,3.00,285000.00,0.53,727000.00,0.38,5539.00,0.05,0.95,14418.00,0.06,5.780178,3.345010417,3469.00,0.99,0.04,0.58,1.57,Survive
University of Chicago,14966,IL,USN National University Ranking,6,0.98,0.07,0.98,135000,0.9,2.86,A,4.66,2.80,412000.00,0.91,1075000.00,0.91,56787.00,0.99,2.82,58230.00,1.00,22.53406003,0.837106134,468329.00,0.07,0.17,0.95,1.01,Survive
University of Cincinnati-Main Campus,28655,OH,USN National University Ranking,139,0.39,0.73,0.31,110000,0.87,1.57,A+,5.00,3.00,226000.00,0.15,638000.00,0.14,7411.00,0.27,0.56,19167.00,0.17,2.8296,0.579005525,47628.00,0.56,0.01,0.07,0.63,Thrive
University of Colorado Denver/Anschutz Medical Campus,13182,CO,USN National University Ranking,254,0.08,0.64,0.51,27000,0.41,1.01,A-,4.33,2.60,363000.00,0.83,912000.00,0.78,24038.00,0.95,2.56,17527.00,0.14,6.70763331,1.725214329,42839.00,0.59,0.01,0.07,0.66,Thrive
University of Colorado-Boulder,30730,CO,USN National University Ranking,104,0.55,0.82,0.16,60500,0.7,1.4,A+,5.00,3.00,295000.00,0.60,789000.00,0.56,9685.00,0.58,1.73,24909.00,0.29,7.299396,0.925849315,21334.00,0.77,0.04,0.50,1.27,Survive
University of Connecticut,24181,CT,USN National University Ranking,64,0.72,0.49,0.71,40500,0.55,1.98,A,4.66,2.80,359000.00,0.82,928000.00,0.8,13455.00,0.82,2.44,26914.00,0.32,13.50377969,1.562937464,17500.00,0.82,0.10,0.78,1.60,Survive
University of Dayton,10037,OH,USN National University Ranking,132,0.43,0.72,0.36,40500,0.55,1.33,A+,5.00,3.00,280000.00,0.50,816000.00,0.63,6985.00,0.21,1.34,42900.00,0.61,5.35866,0.32376654,56522.00,0.52,0.02,0.26,0.78,Struggle
University of Delaware,21698,DE,USN National University Ranking,91,0.60,0.66,0.47,110000,0.87,1.94,A+,5.00,3.00,370000.00,0.84,925000.00,0.8,10870.00,0.68,2.32,23995.00,0.27,13.518708,1.82734631,65130.00,0.48,0.03,0.39,0.87,Thrive
University of Denver,8528,CO,USN National University Ranking,97,0.57,0.56,0.65,74000,0.78,2,A,4.66,2.80,295000.00,0.60,845000.00,0.68,12425.00,0.76,2.04,50556.00,0.78,11.43049536,0.539989388,89347.00,0.37,0.05,0.59,0.95,Survive
University of Detroit Mercy,4156,MI,USN National University Ranking,179,0.25,0.83,0.12,12100,0.14,0.51,B-,3.33,2.00,292000.00,0.57,751000.00,0.47,10945.00,0.69,1.73,28000.00,0.34,1.776279942,0.195798054,15220.00,0.85,0.06,0.64,1.49,Perish
University of Florida,44135,FL,USN National University Ranking,34,0.85,0.39,0.79,201000,0.97,2.61,A+,5.00,3.00,374000.00,0.86,919000.00,0.79,11594.00,0.73,2.37,17520.00,0.14,18.543591,5.013136253,39139.00,0.63,0.07,0.67,1.30,Survive
University of Georgia,34930,GA,USN National University Ranking,50,0.78,0.49,0.71,135000,0.9,2.39,A+,5.00,3.00,327000.00,0.74,818000.00,0.63,6342.00,0.12,1.49,21117.00,0.22,10.583958,1.719291423,36483.00,0.64,0.01,0.07,0.71,Thrive
University of Hartford,5113,CT,USN National University Ranking,211,0.18,0.71,0.36,33100,0.47,1.02,C,2.66,1.60,230000.00,0.17,695000.00,0.28,10337.00,0.63,1.08,40694.00,0.56,1.74305544,0.116110807,34961.00,0.65,0.03,0.39,1.04,Perish
University of Hawaii at Manoa,13329,HI,USN National University Ranking,166,0.28,0.84,0.11,49500,0.63,1.02,B,3.66,2.20,285000.00,0.53,731000.00,0.4,14622.00,0.86,1.78,22986.00,0.25,3.978673272,0.580150667,3171.00,0.99,0.03,0.39,1.38,Survive
University of Houston,33608,TX,USN National University Ranking,185,0.24,0.62,0.55,135000,0.9,1.69,A-,4.33,2.60,332000.00,0.76,835000.00,0.66,5707.00,0.06,1.48,15093.00,0.08,6.46575951,3.110033434,25068.00,0.74,0.03,0.39,1.13,Survive
University of Idaho,8436,ID,USN National University Ranking,179,0.25,0.77,0.23,40500,0.55,1.03,A-,4.33,2.60,257000.00,0.34,665000.00,0.21,8067.00,0.39,0.93,16682.00,0.12,2.478707634,0.777999885,33309.00,0.66,0.02,0.26,0.92,Thrive
University of Illinois at Chicago,27117,IL,USN National University Ranking,132,0.43,0.76,0.27,40500,0.55,1.25,B,3.66,2.20,353000.00,0.80,882000.00,0.73,14873.00,0.86,2.39,20372.00,0.20,6.55530156,1.196004663,11773.00,0.89,0.07,0.67,1.57,Survive
University of Illinois at Urbana-Champaign,43313,IL,USN National University Ranking,48,0.78,0.62,0.55,33100,0.47,1.81,A+,5.00,3.00,389000.00,0.88,988000.00,0.86,7825.00,0.36,2.1,23379.00,0.27,11.39316,1.59233543,36436.00,0.64,0.12,0.83,1.47,Survive
University of Indianapolis,4678,IN,USN National University Ranking,228,0.14,0.69,0.42,22200,0.33,0.89,B+,4.00,2.40,226000.00,0.15,622000.00,0.12,6580.00,0.15,0.42,29688.00,0.37,0.890712,0.088681004,23045.00,0.76,0.04,0.50,1.26,Perish
University of Iowa,26432,IA,USN National University Ranking,84,0.63,0.83,0.12,110000,0.87,1.62,A+,5.00,3.00,336000.00,0.76,842000.00,0.68,8987.00,0.49,1.93,20250.00,0.20,9.364296,1.742843104,56767.00,0.52,0.04,0.50,1.02,Survive
University of Kansas,23027,KS,USN National University Ranking,130,0.44,0.92,0.04,60500,0.7,1.17,A+,5.00,3.00,294000.00,0.59,769000.00,0.51,13266.00,0.80,1.89,19253.00,0.18,6.633072,1.36482963,76683.00,0.41,0.04,0.50,0.91,Thrive
University of Kentucky,26158,KY,USN National University Ranking,132,0.43,0.94,0.01,110000,0.87,1.31,A+,5.00,3.00,271000.00,0.43,711000.00,0.34,8573.00,0.45,1.22,20672.00,0.21,4.922946,0.840236559,51018.00,0.55,0.01,0.07,0.61,Thrive
University of La Verne,5202,CA,USN National University Ranking,132,0.43,0.51,0.69,40500,0.55,1.67,A-,4.33,2.60,271000.00,0.43,750000.00,0.47,8152.00,0.41,1.31,43050.00,0.62,5.65178013,0.339262869,19943.00,0.79,0.06,0.64,1.43,Perish
University of Louisville,15936,KY,USN National University Ranking,192,0.22,0.72,0.33,60500,0.7,1.25,A,4.66,2.80,252000.00,0.30,659000.00,0.19,13345.00,0.81,1.3,19467.00,0.19,4.52880702,0.878186353,44697.00,0.58,0.01,0.07,0.65,Thrive
University of Maine,8929,ME,USN National University Ranking,202,0.20,0.92,0.03,40500,0.55,0.78,B+,4.00,2.40,251000.00,0.29,665000.00,0.21,5886.00,0.07,0.56,21070.00,0.22,1.0542312,0.169028571,36178.00,0.64,0.00,0.00,0.64,Struggle
University of Maryland-College Park,36603,MD,USN National University Ranking,64,0.72,0.47,0.73,22200,0.33,1.78,A+,5.00,3.00,400000.00,0.90,1012000.00,0.88,9306.00,0.54,2.31,22906.00,0.25,12.34926,1.83686747,16938.00,0.83,0.03,0.39,1.22,Survive
University of Massachusetts-Amherst,24343,MA,USN National University Ranking,64,0.72,0.60,0.58,110000,0.87,2.17,A+,5.00,3.00,305000.00,0.64,806000.00,0.6,10225.00,0.63,1.87,25229.00,0.30,12.164454,1.482024123,13830.00,0.86,0.10,0.78,1.64,Survive
University of Massachusetts-Boston,11268,MA,USN National University Ranking,228,0.14,0.78,0.22,60500,0.7,1.05,C+,3.00,1.80,322000.00,0.71,791000.00,0.57,10140.00,0.62,1.89,24067.00,0.28,3.5842014,0.4758,7534.00,0.95,0.09,0.74,1.69,Survive
University of Massachusetts-Dartmouth,6531,MA,USN National University Ranking,218,0.16,0.78,0.22,40500,0.55,0.93,C,2.66,1.60,290000.00,0.56,760000.00,0.49,8116.00,0.39,1.44,21531.00,0.23,2.148725124,0.352134566,8398.00,0.93,0.01,0.07,1.00,Perish
University of Massachusetts-Lowell,11913,MA,USN National University Ranking,179,0.25,0.72,0.35,40500,0.55,1.16,B+,4.00,2.40,323000.00,0.72,842000.00,0.68,8085.00,0.39,1.78,24004.00,0.28,4.945248,0.663613527,7701.00,0.95,0.01,0.07,1.01,Survive
University of Memphis,13980,TN,USN National University Ranking,272,0.04,0.84,0.09,90500,0.82,0.96,A-,4.33,2.60,231000.00,0.18,595000.00,0.09,6745.00,0.18,0.44,15173.00,0.09,1.102575612,0.474838765,15466.00,0.85,0.02,0.26,1.10,Survive
University of Miami,15904,FL,USN National University Ranking,57,0.75,0.32,0.83,135000,0.9,2.49,A+,5.00,3.00,331000.00,0.75,916000.00,0.78,19048.00,0.92,2.46,50226.00,0.77,18.316848,0.879898544,64230.00,0.48,0.14,0.89,1.37,Survive
University of Michigan-Ann Arbor,44340,MI,USN National University Ranking,25,0.90,0.23,0.88,246000,0.98,2.75,A+,5.00,3.00,426000.00,0.93,1043000.00,0.89,14329.00,0.85,2.67,32306.00,0.41,22.279632,1.955382833,264615.00,0.15,0.04,0.50,0.64,Thrive
University of Minnesota-Morris,1463,MN,USN National College Ranking,148,0.34,0.63,0.53,4400,0.05,0.92,C+,3.00,1.80,269000.00,0.41,665000.00,0.21,6426.00,0.13,0.75,14328.00,0.06,1.2477114,0.75756612,10644.00,0.91,0.03,0.39,1.30,Survive
University of Minnesota-Twin Cities,39763,MN,USN National University Ranking,70,0.69,0.52,0.68,9900,0.11,1.48,A+,5.00,3.00,326000.00,0.73,831000.00,0.66,11685.00,0.73,2.12,22599.00,0.24,9.40008,1.45062963,88040.00,0.37,0.05,0.59,0.95,Survive
University of Mississippi,19864,MS,USN National University Ranking,162,0.29,0.88,0.06,33100,0.47,0.82,A+,5.00,3.00,272000.00,0.44,688000.00,0.27,9335.00,0.55,1.25,16637.00,0.11,3.086139,1.00264425,35895.00,0.65,0.01,0.07,0.71,Thrive
University of Missouri-Columbia,25265,MO,USN National University Ranking,139,0.39,0.78,0.21,6600,0.07,0.67,A+,5.00,3.00,291000.00,0.57,762000.00,0.5,8571.00,0.45,1.51,18507.00,0.16,3.04869,0.680207497,39700.00,0.62,0.01,0.07,0.69,Thrive
University of Missouri-Kansas City,9526,MO,USN National University Ranking,263,0.06,0.56,0.65,8100,0.08,0.8,B+,4.00,2.40,291000.00,0.57,736000.00,0.41,10108.00,0.61,1.58,14193.00,0.06,3.0298752,1.968729825,15875.00,0.84,0.04,0.50,1.34,Survive
University of Missouri-St Louis,6401,MO,USN National University Ranking,281,0.03,0.73,0.33,6600,0.07,0.42,B-,3.33,2.00,292000.00,0.57,710000.00,0.33,8549.00,0.44,1.34,17916.00,0.14,1.119775104,0.288008,13488.00,0.87,0.05,0.59,1.45,Perish
University of Nebraska-Lincoln,22191,NE,USN National University Ranking,139,0.39,0.80,0.19,22200,0.33,0.92,A,4.66,2.80,278000.00,0.48,730000.00,0.39,7810.00,0.36,1.22,17140.00,0.13,3.136541616,0.880062182,46019.00,0.57,0.05,0.59,1.15,Survive
University of Nevada-Reno,16768,NV,USN National University Ranking,240,0.11,0.88,0.06,22200,0.33,0.5,A-,4.33,2.60,300000.00,0.63,757000.00,0.48,8424.00,0.43,1.54,14918.00,0.07,1.995162678,1.012259096,19540.00,0.80,0.01,0.07,0.87,Thrive
University of New England,5331,ME,USN National University Ranking,246,0.10,0.80,0.19,22200,0.33,0.62,C,2.66,1.60,204000.00,0.08,655000.00,0.18,8678.00,0.46,0.72,37620.00,0.49,0.711142488,0.05386219,7056.00,0.96,0.05,0.59,1.54,Perish
University of New Hampshire-Main Campus,13896,NH,USN National University Ranking,125,0.45,0.77,0.23,40500,0.55,1.23,A,4.66,2.80,289000.00,0.55,790000.00,0.57,7502.00,0.30,1.41,26189.00,0.31,4.871272284,0.585771078,28029.00,0.71,0.01,0.07,0.78,Thrive
